name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1004;0;729;3047;1068;3047;1113;0
header;236;153;236;192;1881;192;1881;153
A;1047;224;1047;253;1072;253;1072;224
B;1049;908;1049;937;1071;937;1071;908
C;1044;1586;1044;1617;1065;1617;1065;1586
B;918;1719;918;1738;933;1738;933;1719
B;815;2058;815;2074;825;2074;825;2058
D;1043;2231;1043;2259;1065;2259;1065;2231
A;1019;2360;1019;2363;1026;2363;1026;2360
B;865;2540;865;2556;874;2556;874;2540
B;933;2724;933;2741;943;2741;943;2724
B;838;2864;838;2881;859;2881;859;2864
